"시도별",2019,2019,2019,2019,2019
"시도별",평  균 (%),초등학교 (%),중학교 (%),고등학교 (%),일반고 (%)
"전 체",74.8,83.5,71.4,61.0,67.9
"서 울",80.0,87.6,77.2,68.9,77.3
"부 산",75.9,84.4,72.4,62.9,72.4
"대 구",75.5,84.3,73.5,61.5,70.4
"인 천",75.1,83.4,71.9,61.1,70.1
"광 주",73.7,82.1,73.2,59.1,64.5
"대 전",74.5,83.8,68.7,62.5,70.0
"울 산",73.0,79.9,71.1,60.6,68.3
"세 종",81.3,88.0,79.6,63.4,65.1
"경 기",78.3,86.7,73.5,65.1,70.2
"강 원",65.7,77.8,60.2,49.0,53.7
"충 북",69.0,81.0,63.3,50.5,59.3
"충 남",69.4,78.5,68.4,52.0,58.6
"전 북",68.3,76.4,66.4,56.1,62.1
"전 남",60.9,69.0,58.3,48.5,56.6
"경 북",69.7,80.2,66.4,53.3,61.6
"경 남",72.0,80.9,69.8,55.7,60.1
"제 주",72.1,82.1,67.4,55.8,62.7
